language_no	predicate_no	verb	X	Y	locus	valency_pattern	sentence	glosses_en	back_translation_en	comms	glosses_ru	back_translation_ru	verb_original_orthography	sentence_original_orthography
124	7	irχ k-až-iz/k-arž-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi juldaš-li-ja irχ k-arg-ule=saj	boy friend-OBL-SUPER(LAT) M.trust DOWN-M.put.IPFV-PROG.CNV=COP:M(3)	‘The father believes his friend.’			‘Мальчик верит другу.’		
124	8	h-asː-iz/h-ajsː-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le kniža h-asː-ib	boy-ERG/LOC(LAT) book UP-take.PFV-PRET(3)	‘The boy took a book.’			‘Мальчик взял книгу’		
124	9	če-b-až-iz/če-b-iž-iz	DAT	NOM	X	DAT_NOM	uršːi-z qali če-b-ig-ule=sab	boy-DAT home ON-N-see.IPFV-PROG.CNV=COP:N(3)	‘The boy sees a house.’			‘Мальчик видит дом.’		
124	10	*	*	*	*		ʡumru ar d-ax-ni-le d-aχril asar b-irq'-u	life away/back NPL-go-MSD-ERG/LOC(LAT) NPL-knowledge away/off N-do.IPF-HAB.PRS	‘With life passing by, knowledge goes down.’	Not included in the database because the translation deviates too far from the stimulus sentence.		‘Жизнь проходит умения убывают.’		
124	11	qːaršːi b-ič-iz/b-irč-iz	NOM	COM	Y	NOM_COM	uršːi juldaš-li-cːila qːaršːi ič-ib	boy friend-OBL-COM opposite M.get.PFV-PRET(3)	‘The boy encountered a friend.’			‘Мальчик встретился с другом’		
124	12	hа-b-ac'-iz/ha-b-ic'-iz	NOM	ERG/LOC(LAT)	Y	NOM_ERG/LOC(LAT)	uršːi uškul-le h-ac'-ib	boy school-ERG/LOC(LAT) UP-(M)go.PFV-PRET(3)	‘The boy entered the school.’			‘Мальчик вошел в школу.’		
124	13	četːe b-ičː-iz/b-irčː-iz	NOM	SUPER.ABL2	Y	NOM_SUPER.ABL2	uršːi juldaš-li-j-kar četːi ič-ib	boy friend-OBL-SUPER-ABL2 through M.fall.PFV-PRET(3)	‘The boy beat his friend.’			‘Мальчик выиграл у друга.’		
124	14	tːura b-uq-iz/b-ulq-iz	NOM	LOC.ABL1	Y	NOM_LOC.ABL1	uršːi uškul-le-la tːura uq-un	boy school-LOC-ABL1 outside(LAT) (M)move.PFV-PRET(3)	‘The boy went out of the school.’			‘Мальчик вышел из школы.’		
124	15	baˤħ b-arq'-iz/b-irq'-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le q'ʷaˤl awlaq-le baˤħ b-arq'-ib	boy-ERG/LOC(LAT) cow flat-ERG/LOC(LAT) face do.PFV-PRET.CNV(3)	‘The boy drove the cow into the plain.’			‘Мальчик погнал корову на равнину.’		
124	16	b-alq'-aq-iz/b-ulk'-aq-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi q'aˤli b-elk'-aq-un	boy-ERG/LOC(LAT) branch N-bend.PFV-CAUS-PRET(3)	‘The boy bent the branch.’			‘Мальчик согнул ветку.’		
124	17	b-urs-iz	ERG/LOC(LAT)	INTER(LAT)	Y	ERG/LOC(LAT)_INTER(LAT)	uršːi-le unra-c:e b-urs-ib	boy-ERG/LOC(LAT) neighbor-INTER(LAT) N-tell-PRET(3)	‘The boy told his neighbor.’			‘Мальчик сказал соседу’		
124	18	ka-b-uc-iz/ka-b-urc-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le nuqba-cːe kniža ka-b-uc-ible=saj	boy-ERG/LOC(LAT) hand.PL.OBL-INTER(LAT) book DOWN-N-keep.PFV-PRET.CNV=COP:M(3)	‘The boy is holding a book in his hands.’			‘Мальчик держит книгу в руках’		
124	19	ʡer b-eʁ-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi juldaš-li-ja ʡer eʁ-ib	boy friend-OBL-SUPER(LAT) POST(after) reach.PFV-PRET(3)	‘The boy caught up with his friend.’			‘Мальчик догнал друга.’		
124	20	b-ircː-iz/icː-iz	ERG/LOC(LAT)	NOM	TR	TR	rursːi-le q'ʷaˤl b-ircː-ib	girl-ERG/LOC(LAT) cow N-milk.PFV-PRET(3)	‘The girl milked the cow.’			‘Девочка подоила корову’		
124	21	b-it-eʁ-iz	NOM	ERG/LOC(LAT)	Y	NOM_ERG/LOC(LAT)	rursːi ħerk'-la muza-le r-et-eʁ-ib	girl river-GEN edge-ERG/LOC(LAT) F-thither-reach.PFV-PRET(3)	‘The girl reached the bank of the river.’			‘Девочка достигла берега реки.’		
124	22	če-ačː-iz/če-ičː-iz	ERG/LOC(LAT)	INTER(LAT)	Y	ERG/LOC(LAT)_INTER(LAT)	rursːi-le baˤħ-li-c:e če-ačː-ib	girl-ERG/LOC(LAT) wall-OBL-INTER(LAT) UP-touch/hit.PFV-PRET(3)	‘The girl touched the wall.’			‘Девочка дотронулась до стены.’		
124	23	b-aˤħ-iz/b-irħ-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi rursːi-ja irħ-ule=saj	boy girl-SUPER(LAT) (M)fight.PFV-PROG.CNV=COP:M(3)	‘The boy is fighting with a girl.’			‘Мальчик дерется с девочкой.’		
124	24	juldašː b-ič-iz/b-irč-iz	NOM	COM	Y	NOM_COM	uršːi unra-cːila juldaš ič-ib	boy neighbor-COM friend (M)fall.PFV-PRET(3)	‘The boy is friends with the neighbor.’			‘Мальчик подружился с соседом.’		
124	25	pikri b-ič'-iz	NOM	GENcela	Y	NOM_GENcela	uršːi neš-la če-la pikri ik'-ule=saj	boy mother-GEN on-ABL1 thought (M)say-PROG.CNV=COP:M(3)	‘The boy is thinking about his mother.’			‘Мальчик думает о маме.’		
124	26	b-erč-iz/b-uč-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le hinc b-erk-un	boy-ERG/LOC(LAT) apple N-eat.PFV-PRET(3)	‘The boy ate an apple.’			‘Мальчик съел яблоко.’		
124	27	b-erc'-iz/b-uc'-iz	ERG/LOC(LAT)	NOM	TR	TR	rursːi-le dig b-erc'-ib	girl-ERG/LOC(LAT) meat N-roast.PFV-PRET(3)	‘The girl roasted the meat.’			‘Девочка пожарила мясо.’		
124	28	ħerli ha-b-iž-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	rursːi neš-li-ja ħer-li ha-r-iž-ible=sar	girl mother-OBL-SUPER(LAT) look-ADV UP-F-sit.PFV-PRET.CNV=COP:F(3)	‘The girl is waiting for her mother.’			‘Девочка ждет мальчика.’		
124	29	qːum k-art-iz/art-iz	DAT	NOM	X	DAT_NOM	uršːi-z it-il xuni qum k-art-ur	boy-DAT DEM.DIST-CONTRS road mind DOWN-put-PRET(3)	‘The boy forgot about the other road.’			‘Мальчик забыл о другой дороге.’		
124	30	*	*	*	*		*	*	*	No satisfactory translation has been obtained.		*		
124	31	waˤw ʔ-iz/ʔir-iz	ERG/LOC(LAT)	INTER(LAT)	Y	ERG/LOC(LAT)_INTER(LAT)	uršːi-le juldaš-li-c:e waˤw ʔ-ib	boy-ERG/LOC(LAT) friend-OBL-INTER(LAT) call say.PFV-PRET(3)	‘The boy called his friend.’			‘Мальчик позвал друга.’		
124	32	zu b-aχ-iz/b-alχ-iz	*	*	*		uršːi-li-z unra-la zu b-aχ-ur	boy-OBL-DAT neighbor-GEN name N-know.PFV-PRET(3)	‘The boy got to know his neighbor.’	Not included in the database because Y is expressed as an NP-internal modifier.		‘Мальчик познакомился с соседом год тому назад.’		
124	33	b-aχ-iz/b-alχ-iz	DAT	NOM	X	DAT_NOM	uršːi-li-z unra r-alχ-a	boy-OBL-DAT neighbor F-know.IPFV-3HAB.PRS	‘The boy knows his (female) neighbor.’			‘Мальчик знает соседку.’		
124	34	b-aˤq-iχ/b-irq-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le tːam b-irq-ule=sab	boy-ERG/LOC(LAT) drum N-do.IPFV-PROG.CNV=COP:N(3)	‘The boy is playing the drum.’			‘Мальчик играет на барабане.’		
124	35	*	*	*	*		uršːi-li-z unra w-aˤħ ačː-ible ʡaˤ-b-ikː-ule=sab	boy-OBL-DAT neighbor M-face hit.PFV-PRET.CNV NEG-N-like/want-PROG.CNV=COP:N(3)	‘The boy does not want to encounter his neighbor.’	Not included in the database because the translation deviates too far from the stimulus sentence.		‘Мальчик избегает соседа.’		
124	36	b-arq'-iz/b-irq'-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le waca-z tːam d-arq'-ib	boy-ERG/LOC(LAT) mouse-DAT trap N-do.PFV-PRET(3)	‘The boy made a mousetrap.’			‘Мальчик сделал стул.’		
124	37	inžit b-arq'-iz/b-irq'-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le kːata inžit b-irq'-ule=sab	boy-ERG/LOC(LAT) cat weary N-do.IPFV-PROG.CNV=COP.N(3)	‘A boy is bullying a cat.’			‘Мальчик издевается над кошкой.’		
124	38	le-b	GEN	NOM	X	GEN_NOM	uršːi-la qali le-b	boy-GEN home COP.EXST-N	‘The boy has a house.’	The NP in the genitive displays some properties of a clause-level dependent.		‘У мальчика есть дом’		
124	39	hitːe b-aš-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi umxu-ja hitːi w-ax-ule=saj	boy key-SUPER(LAT) POST(after) M-walk-PROG.CNV=COP:M(3)	‘The boy is looking for his key.’			‘Мальчик ищет ключ.’		
124	40	b-eršː-iz/ruršː-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le bur b-erx-ur	boy-ERG/LOC(LAT) door NPL-paint.PFV-PRET(3)	‘The boy painted the door.’			‘Мальчик покрасил дверь.’		
124	41	q'ac' b-ič-iz/b-ilč-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi-ja χʷaˤ q'ac' ka-b-ik-ub	boy-SUPER(LAT) dog ID.bite down-N-bite.PFV-PRET(3)	‘A dog bit the boy.’			‘Собака укусила мальчика.’		
124	42	ka-b-iχ-iz/ka-b-irχ-iz	NOM	akwar	Y	NOM_akwar	unra qali akːʷar ka-jχ-ub	neighbor home COP.NEG(3) down-(M)be.PFV-PRET(3)	‘The neighbor remained homeless.’			‘Сосед лишился дома.’		
124	43	b-uc-iz/b-urc-iz	ERG/LOC(LAT)	NOM	TR	TR	kːata-le waca b-urc-ule=sab	cat-ERG/LOC(LAT) mouse N-catch.IPFV-PROG.CNV=COP:N(3)	‘The cat is trying to catch a mouse.’			‘Кот поймал мышь.’		
124	44	b-urʡ-iz/ʡuʡ=iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le t'irxa b-urʔ-ub	boy-ERG/LOC(LAT) stick N-break.PFV-PRET(3)	‘The boy broke a stick.’			‘Мальчик сломал палку.’		
124	45	*	*	*	*		*	*	*	No satisfactory translation has been obtained.		‘Мальчик льстит другу.’		
124	46	b-ičː-iz	DAT	NOM	X	DAT_NOM	uršːi-li-z neš r-ikː-aq-u	boy-OBL-DAT mother F-love-CAUS-3HAB.PRS	‘The boy loves his mother.’			‘Мальчик любит маму.’		
124	47	hak' b-ič'-iz	NOM	ERG/LOC(LAT)	Y	NOM_ERG/LOC(LAT)	uršːi naˤq-le hak' ik'-ule=saj	boy hand-ERG/LOC(LAT) ID.swing (M)say-PROG.CNV=COP.M(3)	‘The boy is waving his hand.’			‘Мальчик машет рукой.’		
124	48	b-ikː-iz	*	*	*		uršːi-z sakːa mašina asː-iz b-ikː-ule=saj	boy-DAT new car buy-INF N-like/want-PROG.CNV=COP:M(3)	‘The boy wants to buy a new car.’	Not included in the database because Y is expressed as an NP within a dependent clause.		‘Мальчик хочет купить новую машину.’		
124	49	b-irc-iz/ic-iz	ERG/LOC(LAT)	NOM	TR	TR	rursːi-le kuruška b-irc-ib	girl-ERG/LOC(LAT) cup N-wash.PFV-PRET(3)	‘The girl washed the cup.’			‘Девочка вымыла чашку.’		
124	50	aχ-iz/alχ-iz	ERG/LOC(LAT)	NOM	TR	TR	rursːile ħwewa h-aχ-ur	girl-ERG/LOC(LAT) dress UP-wear.PFV-PRET(3)	‘The girl put on her dress.’			‘Девочка надела платье.’		
124	51	COP	NOM	NOM(NO.AGR)	Y	NOM_NOM(NO.AGR)	ez kalbataj=sab	this pliers=COP.N	‘This is called pliers’ (lit. ‘This is pliers’).	Non-verbal predicate.		‘Это называется плоскогубцы.’ (досл. Это плоскогубцы)		
124	52	b-it-iz	*	*	*		unra-le sune-la uršːi it-ib	neighbor-ERG/LOC(LAT) REFL.OBL-GEN boy (M)beat.PFV-PRET(3)	‘The neighbor beat his son.’	Not included in the database because this translation is semantically inaccurate.		‘Сосед наказал своего сына.’		
124	53	če-b-uq-iz/če-b-ulq-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	χʷaˤ uršːi-ja če-b-uq-un	dog boy-SUPER(LAT) ON-N-fall.PFV-PRET(3)	‘A dog attacked the boy.’			‘Собака напала на мальчика.’		
124	54	b-ic'-iz/b-irc'-iz	NOM	ERG/LOC(LAT)	Y	NOM_ERG/LOC(LAT)	bidra šin-ne b-ic'-ib	bucket water-ERG/LOC(LAT) N-fill.PFV-PRET(3)	‘The bucket filled with water.’			‘Ведро наполнилось водой.’		
124	55	b-arčː-iz/b-určː-iz	DAT	NOM	X	DAT_NOM	uršːi-li-z umxu b-arčː-ib	boy-OBL-DAT key N-find.PFV-PRET(3)	‘The boy found his key.’			‘Мальчик нашел ключ.’		
124	56	ʡaˤ-b-eʁ-iz	DAT	NOM	X	DAT_NOM	uršːi-z ca qːuruš ʡaˤ-b-eʁ-ule=sab	boy-DAT one ruble NEG-N-be_enough.PFV-PROG.CNV=COP.N(3)	‘The boy is ten roubles short.’			‘Мальчику недостает десяти рублей.’		
124	57	če-b-až-iz ʡaˤ-bičː-iz	DAT	NOM	X	DAT_NOM	uršːi-z unra če-w-až-iz ʡaˤ-jkː-ule=saj	boy-DAT neighbor ON-M-see.PFV-INF NEG-(M)say-PROG.CNV=COP.M(3)	‘The boy hates his neighbor.’			‘Мальчик ненавидит соседа.’		
124	58	ʡaˤχ b-icː-iz/b-ilcː-iz	DAT	NOM	X	DAT_NOM	uršːi-z mašina ʡaˤχ b-ilcː-unne=sab	boy-DAT car good N-stand.IPFV-PROG.CNV=COP.N(3)	‘The boy likes the car.’			‘Мальчику нравится машина’		
124	59	ʡaˤʡni-le sab	DAT	NOM	X	DAT_NOM	uršːiz mašina ʡaˤʡni-le=sab	boy-DAT car need-ADV=COP:N(3)	‘The boy needs a car.’	Non-verbal predicate.		‘Мальчику нужна машина.’		
124	60	alaw ka-b-arq'-iz/b-irq'-iz	ERG/LOC(LAT)	NOM	TR	TR	quli lucra-le alaw ka-b-arq'-ible=sab	home wall.PL.OBL-ERG/LOC(LAT) around DOWN-N-do.PFV-PRET.CNV=COP.N(3)	‘Walls surround the house.’			‘Дом окружают стены.’		
124	61	k-alž-iz	GEN	NOM	X	GEN_NOM	uršːi-la wec'al qːuruš k-alg-unne=sab	boy-GEN ten money down-stay.PFV-PRET.CNV=COP.N(3)	‘The boy has ten roubles left.’	The NP in the genitive displays some properties of a clause-level dependent.		‘У мальчика теперь осталось 10 рублей.’		
124	62	ʁaj ʔ-iz/ʔir=iz	ERG/LOC(LAT)	INTER(LAT)	Y	ERG/LOC(LAT)_INTER(LAT)	uršːi-le tːutːešː-i-cːe ʁaj ʔ-ib	boy-ERG/LOC(LAT) father-OBL-INTER(LAT) word say.PFV-PRET(3)	‘The boy answered his father.’			‘Мальчик ответил папе.’		
124	63	abšː-iz/ibšː-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le bank'a abšː-ib	boy-ERG/LOC(LAT) pot open.PFV-PRET(3)	‘The boy opened a pot.’			‘Мальчик открыл банку.’		
124	64	sur-se=sab	NOM	SUPER.ABL2	Y	NOM_SUPER.ABL2	dila mašina beħ sur-se=sab uršːi-la-ja-kanra	1.GEN car face reverse-ATR=COP:N(3) boy-GEN-SUPER(LAT)-ABL2	‘My car is different from the boy’s.’	Non-verbal predicate.		‘Моя машина отличается от твоей.’		
124	65	ʡel b-ič-iz/b-irč-iz	NOM	SUPER.ABL2	Y	NOM_SUPER.ABL2	uršːi juldaš-li-j-kar ʡel ha-jč-ib	boy friend-OBL-SUPER-ABL2 behind UP-(M)fall.PFV-PRET(3)	‘The boy fell behind the girl.’			‘Мальчик отстал от девочки.’		
124	66	b-ac-iz/b-alc-iz	ERG/LOC(LAT)	NOM	TR	TR	unra-le qu b-ac'-un	neighbor-ERG/LOC(LAT) field N-plough.PFV-PRET(3)	‘The boy ploughed the field.’			‘Сосед вспахал поле.’		
124	67	kːʷaˤʡ b-ič'-iz	NOM	GEN	Y	NOM_GEN	dila nuqbe benzin-na kːʷaˤʡ d-ik'-ule=sade	1.GEN hand.PL.OBL oil-GEN smell NPL-say-PROG.CNV=COP.NPL(3)	‘My hands smell of gasoline.’	The NP in the genitive displays some properties of a clause-level dependent.		‘Мои руки пахнут бензином. (lit. Из моих рук есть запах бензина)’		
124	68	b-at ac'-iz/b-it ic'-iz	NOM	GEN	Y	NOM_GEN	uršːi xːun-na it-il šːal-le w-at ac'-ib	boy road-GEN DEM.DIST-CNTRS side-ERG/LOC(LAT) M-thither get.PFV-PRET(3)	‘The boy crossed the road.’	The NP in the genitive displays some properties of a clause-level dependent.		‘Мальчик пересек дорогу.’		
124	69	b-elč'-iz/b-uč'-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le dalaj b-elč'-un	boy-ERG/LOC(LAT) song N-read.PFV-PRET(3)	‘The boy sang a song.’			‘Мальчик спел песню.’		
124	70	b-elč'-iz/luč'-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le kaʁar b-elk'-un	boy-ERG/LOC(LAT) letter N-write.PFV-PRET(3)	‘The boy wrote a letter.’			‘Мальчик написал письмо.’		
124	71	b-erčː-iz/b-učː-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le nig d-erčː-ib	boy-ERG/LOC(LAT) milk NPL-drink.IPFV-PRET(3)	‘The boy drank the milk.’			‘Мальчик выпил молоко.’		
124	72	b-ac'-aq/b-ic'-aq-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le č'at' b-ac'-aq-ib	boy-ERG/LOC(LAT) lead N-melt.PFV-CAUS-PRET(3)	‘The boy melted a piece of lead.’			‘Мальчик расплавил кусок свинца.’		
124	73	b-alar ʔ-iz/arb-iz	DAT	NOM	X	DAT_NOM	uršːi-li-z š:i b-alar b-e-unne=sab	boy-OBL-DAT village N-suitable N-get.PFV-PROG.CNV=COP.N(3)	‘The village suits the boy.’			‘Мальчику подходит село’		
124	74	b-at-iz/b-alt-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le šːi b-at-ur	boy-ERG/LOC(LAT) village N-leave.PFV-PRET(3)	‘The boy left his native village.’			‘Мальчик покинул родное село.’		
124	75	ka-b-uc'-iz/ka-b-urc-iz	ERG/LOC(LAT)	NOM	TR	TR	sːamak-le lebil č'aˤbar ka-b-uc-ible=sab	carpet-ERG/LOC(LAT) all:N floor DOWN-N-take.PFV-PRET.CNV=COP:N(3)	‘The carpet covers the whole floor.’			‘Ковер покрывает весь пол.’		
124	76	han b-ič-iz/b-irč-iz	DAT	NOM	X	DAT_NOM	uršːi-z šːi ʡaˤħ-le han b-irk-ule=sab	boy-DAT village good-ADV mind N-get.IPFV-PROG.CNV=COP.EXST:N(3)	‘The boy remembers the village well.’			‘Мальчик хорошо помнит село.’		
124	77	iq'al b-arq'-iz/b-irq'-iz	ERG/LOC(LAT)	DAT	Y	ERG/LOC(LAT)_DAT	uršːi-le juldaš-i-z iq'al b-arq'-ib	boy-ERG/LOC(LAT) friend-OBL-DAT help N-do.PFV-PRET(3)	‘The boy helped his friend.’			‘Мальчик помог другу.’		
124	78	arʁ-iz/irʁ-iz	DAT	NOM	X	DAT_NOM	uršːi-z ʡurus mec irʁ-ule=sad	boy-DAT russian language understand.IPFV-PROG.CNV=COP.NPL(3)	‘The boy understands Russian.’			‘Мальчик понимает русский язык.’		
124	79	b-arx b-icː-iz/b-ilcː-iz	NOM	INTER(LAT)	Y	NOM_INTER(LAT)	c'a-la bartːa tːultːa-cːe b-arx b-ic-ur	fire-GEN hatchet tree-INTER(LAT) right N-stand.PFV-PRET(3)	‘Lightning hit the tree.’			‘Молния попала в дерево.’		
124	80	b-aˤq-iz	*	*	*		uršːi dis-le w-aˤq-ib	boy knife-ERG/LOC(LAT) M-hurt.PFV-PRET(3)	‘The knife cut the boy.’	Not included in the database because the translation deviates too far from the stimulus sentence.		‘Мальчик порезал палец ножом.’		
124	81	če-k-ač-iz/če-k-alč-iz	NOM	INTER(LAT)	Y	NOM_INTER(LAT)	marč'i širbar-li-c:e če-k-ak-un	thorn trousers-OBL-INTER(LAT) ON-DOWN-cling.PFV-PRET(3)	‘A thorn stuck to the trousers.’			‘Колючка прилипла к брюкам.’		
124	82	gub ha-b-ič-iz/ha-b-irč-iz	NOM	SUPER.ABL2	Y	NOM_SUPER.ABL2	uršːi gu-wa w-ajč-ib juldaš-li-jа-kar	boy SUB-M.LAT M-fall.PFV-PRET(3) friend-OBL-SUPER-ABL2	‘The boy lost to his friend.’			‘Мальчик проиграл папе.’		
124	83	raˤzi b-iχ-iz/b-irχ-iz	NOM	DAT	Y	NOM_DAT	uršːi saka χaburta-z raˤzi iχ-ub	boy new news.PL.OBL-DAT happy (M)be.PFV-PRET(3)	‘The boy was glad about the news.’	Non-verbal predicate.		‘Мальчик обрадовался новости.’		
124	84	ʁaj b-ič'-iz	NOM	COM	Y	NOM_COM	uršːi juldaš-li-c:ila ʁaj ik'-ule=saj	boy friend-OBL-COM speech (M)say-PROG.CNV=COP:M(3)	‘The boy is speaking with his friend.’			‘Мальчик разговаривает с другом.’		
124	85	b-arq'-iz/b-irq'-iz	ERG/LOC(LAT)	NOM	TR	TR	unra-le uršːi w-arq'-ib	neighbor-ERG/LOC(LAT) boy M-do.PFV-PRET(3)	‘The neighbor gave birth to a son.’			‘У соседки родился сын.’		
124	86	b-at k-aʁ-iz/k-ajʁ-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le stakan b-at k-aʁ-ib	boy-ERG/LOC(LAT) cup N-let DOWN-chase.PFV-PRET(3)	‘The boy dropped the glass.’			‘Мальчик уронил стакан.’		
124	87	b-ucː-aq-iz	ERG/LOC(LAT)	NOM	TR	TR	unra-le nišːala šːi b-ucː-aq-ule=saj	neighbor-ERG/LOC(LAT) 1PL.GEN village N-operate-CAUS-PROG.CNV=COP.M	‘The neighbor runs the village.’			‘Сосед руководит селом.’		
124	88	*	*	*	*		*	*	*	No satisfactory translation has been obtained.		*		
124	89	hitːe b-aš-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi juldaš-li-ja hitːi w-ax-ule=saj	boy friend-OBL-SUPER(LAT) POST(after) M-walk-PROG.CNV=COP:M(3)	‘The boy follows his friend.’			*		
124	90	ka-b-ac'-iz/ka-b-ic'-iz	NOM	SUPER.ABL1	Y	NOM_SUPER.ABL1	uršːi urči-ja-la k-ac'-ib	boy horse-SUPER-ABL1 DOWN-(M)fall.PFV-PRET(3)	‘The boy got down from the horse.’			‘Мальчик слез с лошади.’		
124	91	leħ aq-iz/iq-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi telewizor-li-jaˤ laˤħ ilq-une=saj	boy tv-OBL-SUPER(LAT) ear hang.PFV-PRET.CNV=COP:M.3	‘The boy is listening to the tv.’			‘Мальчик слушает телевизор.’		
124	92	*	*	*	*		gula-le tːutːeš-la aj b-irq'-u	child.PL.OBL-ERG/LOC(LAT) father-GEN word N-do.IPFV-3HAB.PRS	‘The children obey their father.’	Not included in the database because Y is expressed as an NP-internal modifier.		‘Дети слушаются папу.’		
124	93	b-aq'-iz/b-iq'-iz	DAT	NOM	X	DAT_NOM	uršːi-z t'ama b-iq'-ule=sab	boy-DAT sound N-hear.PFV-PROG.CNV=COP.N	‘The boy hears the noise.’			‘Мальчик слышит шум.’		
124	94	b-arχa b-iχ-iz/b-irχ-iz	NOM	INTER(LAT)	Y	NOM_INTER(LAT)	waza nig-li-c:e d-arχ ha-d-iχ-ub	honey milk-OBL-INTER(LAT) NPL-mix UP-NPL-be.PFV-PRET(3)	‘The honey got mixed with milk.’			‘Мёд смешался с молоком.’		
124	95	ħer b-ič'-iz	NOM	SUPER(LAT)	Y	NOM_SUPER(LAT)	uršːi dirix-ma-ja ħer ik'-ule=saj	boy cloud-PL.OBL-SUPER(LAT) look (M)say-PROG.CNV=COP:M(3)	‘The boy is looking at the clouds.’			‘Мальчик смотрит на тучи.’		
124	96	če-b-b-at-iz/če-b-b-alt-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le ħewa če-b-b-at-ur	boy-ERG/LOC(LAT) shirt ON-N.ESS-N-leave.PFV-PRET(3)	‘The boy took off his shirt.’			‘Мальчик снял рубашку.’		
124	97	merlicːe-b če-b-až-iz/če-b-iž-iz	DAT	NOM	X	DAT_NOM	uršːi-z neš mer-li-cːe-r če-r-až-ib	boy-DAT mother dream-OBL-INTER-F.ESS ON-F-see.PFV-PRET(3)	‘The boy has dreamed about his mother.’			‘Мальчику приснилась мама.’		
124	98	raˤzi ka-b-ič-iz/ka-b-irč-iz	NOM	COM	Y	NOM_COM	uršːi neš-li-cːila razi ka-jč-ib	boy mother-OBL-COM agreement DOWN-(M)fall.PFV-PRET(3)	‘The boy agreed with his mother.’			‘Мальчик согласился с мамой.’		
124	99	sem ha-b-uč'-iz	*	*	*		uršːi=ra juldaš=ra sem ha-b-uč'-ib	boy=ADD friend=ADD anger UP-N-take.PFV-PRET(3)	‘The boy had a quarrel with his friend.’	Not included in the database because X and Y are expressed as a coordinate NP.		‘Мальчик поссорился с другом.’		
124	100	ha-b-eʁ-iz	NOM	ERG/LOC(LAT)	Y	NOM_ERG/LOC(LAT)	ca kila kartoška-la ʁal qːuruš-le ha-b-eʁ-ib	one kilo potato-GEN twenty ruble-ERG/LOC(LAT) UP-N-reach.PFV-PRET(3)	‘One kilo of potatoes costs twenty roubles.’			‘Килограмм картошки столо двадцать рублей.’		
124	101	iš-iz/irš-iz	ERG/LOC(LAT)	DAT	Y	ERG/LOC(LAT)_DAT	uršːi-le χʷaˤ-li-z ix-ub	boy-ERG/LOC(LAT) dog-OBL-DAT throw.PFV-PRET(3)	‘The boy shot at the dog.’			‘Мальчик выстрелил в собаку.’		
124	102	k-aq'-iz/k-alq'-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le čaj-li-c:e pisuk' k-aq'-ur	boy-ERG/LOC(LAT) tea-OBL-INTER(LAT) sweet DOWN-pour.PFV-PRET(3)	‘The boy poured the sugar into the cup.’			‘Мальчик насыпал сахар в чашку.’		
124	103	paˤχ-li b-už-iz/b-ulž-iz	GEN	NOM	X	GEN_NOM	uršːi-la umxne paˤχ-li d-ug-un	boy-GEN key.PL away-ERG/LOC(LAT) NPL-stay.PFV-PRET(3)	‘The boy lost his keys.’	The NP in the genitive displays some properties of a clause-level dependent.		‘Мальчик потерял ключи.’		
124	104	ar b-uq-iz/b-eq-iz	NOM	GENgu	Y	NOM_GENgu	tːultːa šin-na gu ar b-uqː-ib	plank water-GEN SUB(LAT) away/from N-carry.PFV-PRET(3)	‘The log sank in the water.’			‘Полено утонуло в воде.’		
124	105	ka-b-uš-iz/ka-b-urš-iz	ERG/LOC(LAT)	NOM	TR	TR	uršːi-le ħunri ka-b-ušː-ib	boy-ERG/LOC(LAT) mosquito DOWN-kill.PFV-PRET(3)	‘The boy killed a mosquito.’			‘Мальчик убил комара.’		
